Genres,Year,Count
"[{'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",1995-10-30,5415
"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 10751, 'name': 'Family'}]",1995-12-15,2413
"[{'id': 10749, 'name': 'Romance'}, {'id': 35, 'name': 'Comedy'}]",1995-12-22,92
"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",1995-12-22,34
"[{'id': 35, 'name': 'Comedy'}]",1995-02-10,173
"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",1995-12-15,1886
"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",1995-12-15,141
"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",1995-12-22,45
"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 53, 'name': 'Thriller'}]",1995-12-22,174
"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",1995-11-16,1194
"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",1995-11-17,199
"[{'id': 35, 'name': 'Comedy'}, {'id': 27, 'name': 'Horror'}]",1995-12-22,210
"[{'id': 10751, 'name': 'Family'}, {'id': 16, 'name': 'Animation'}, {'id': 12, 'name': 'Adventure'}]",1995-12-22,423
"[{'id': 36, 'name': 'History'}, {'id': 18, 'name': 'Drama'}]",1995-12-22,72
"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}]",1995-12-22,137
"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",1995-11-22,1343
"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",1995-12-13,364
"[{'id': 80, 'name': 'Crime'}, {'id': 35, 'name': 'Comedy'}]",1995-12-09,539
"[{'id': 80, 'name': 'Crime'}, {'id': 35, 'name': 'Comedy'}, {'id': 12, 'name': 'Adventure'}]",1995-11-10,1128
"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}]",1995-11-21,224
"[{'id': 35, 'name': 'Comedy'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",1995-10-20,305
"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",1995-10-27,199
"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",1995-10-06,394
"[{'id': 18, 'name': 'Drama'}, {'id': 14, 'name': 'Fantasy'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",1995-10-27,143
"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",1995-10-27,365
"[{'id': 18, 'name': 'Drama'}]",1995-12-15,33
"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",1995-10-20,91
"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",1995-09-27,36
"[{'id': 14, 'name': 'Fantasy'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 12, 'name': 'Adventure'}]",1995-05-16,308
"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",1995-04-30,17
"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",1995-08-11,249
"[{'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}, {'id': 9648, 'name': 'Mystery'}]",1995-12-29,2470
"[{'id': 10749, 'name': 'Romance'}, {'id': 12, 'name': 'Adventure'}]",1996-09-18,4
"[{'id': 14, 'name': 'Fantasy'}, {'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",1995-07-18,756
"[{'id': 36, 'name': 'History'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",1995-11-08,16
"[{'id': 18, 'name': 'Drama'}]",1995-12-29,350
"[{'id': 12, 'name': 'Adventure'}, {'id': 36, 'name': 'History'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",1995-10-20,2
"[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 10749, 'name': 'Romance'}]",1995-11-17,149
"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",1995-07-19,828
"[{'id': 18, 'name': 'Drama'}]",1995-12-15,13
"[{'id': 18, 'name': 'Drama'}, {'id': 10752, 'name': 'War'}]",1995-12-29,50
"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",1995-10-06,80
"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",1995-12-29,30
"[{'id': 28, 'name': 'Action'}, {'id': 14, 'name': 'Fantasy'}]",1995-08-18,452
"[{'id': 14, 'name': 'Fantasy'}, {'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 53, 'name': 'Thriller'}]",1995-05-20,177
"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",1995-10-06,38
"[{'id': 80, 'name': 'Crime'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",1995-09-22,5915
"[{'id': 12, 'name': 'Adventure'}, {'id': 16, 'name': 'Animation'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",1995-06-14,1509
"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",1995-05-05,10
"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",1995-07-19,3334
"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}]",1994-11-22,3
"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",1995-09-13,145
"[{'id': 18, 'name': 'Drama'}, {'id': 10769, 'name': 'Foreign'}]",1994-01-01,11
"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",1995-09-29,41
"[{'id': 18, 'name': 'Drama'}]",1995-05-19,15
[],1997-07-08,1
"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",1995-11-02,39
"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",1994-09-22,181
"[{'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}]",1995-09-29,2
"[{'id': 12, 'name': 'Adventure'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]",1995-07-14,136
"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",1996-01-12,65
"[{'id': 10402, 'name': 'Music'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",1995-12-29,115
"[{'id': 35, 'name': 'Comedy'}]",1996-01-12,192
"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",1996-01-12,14
"[{'id': 35, 'name': 'Comedy'}]",1996-01-12,110
"[{'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]",1996-01-12,32
"[{'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",1995-10-22,11
"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",1995-02-08,43
"[{'id': 35, 'name': 'Comedy'}]",1995-04-26,513
"[{'id': 27, 'name': 'Horror'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",1996-01-19,1644
"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 10749, 'name': 'Romance'}]",1995-11-03,54
"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",1995-10-06,36
"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",1995-03-22,8
"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",1996-01-26,27
"[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",1996-01-26,16
"[{'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}]",1995-09-08,154
"[{'id': 99, 'name': 'Documentary'}]",1995-02-18,3
"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",1995-11-15,74
"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",1996-02-02,91
"[{'id': 10751, 'name': 'Family'}, {'id': 18, 'name': 'Drama'}]",1995-01-01,20
"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",1995-12-01,87
"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",1995-09-12,26
"[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}]",1996-01-26,2
[],1995-11-22,0
"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",1995-09-10,17
"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}]",1996-02-02,86
"[{'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",1996-01-12,59
"[{'id': 35, 'name': 'Comedy'}]",1996-02-01,124
"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",1995-11-22,190
"[{'id': 18, 'name': 'Drama'}]",1995-09-14,3
"[{'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}, {'id': 10749, 'name': 'Romance'}]",1996-02-23,77
"[{'id': 35, 'name': 'Comedy'}, {'id': 27, 'name': 'Horror'}, {'id': 10749, 'name': 'Romance'}]",1995-10-26,113
"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",1996-02-09,103
"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",1996-02-09,459
"[{'id': 35, 'name': 'Comedy'}]",1995-12-01,6
"[{'id': 18, 'name': 'Drama'}]",1995-05-31,695
"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",1994-12-06,13
"[{'id': 99, 'name': 'Documentary'}]",1995-12-27,4
"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",1996-02-16,67
"[{'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",1996-02-21,285
"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",1996-02-16,16
"[{'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",1996-02-23,22
"[{'id': 35, 'name': 'Comedy'}]",1996-02-16,767
"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",1995-05-28,397
"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",1994-11-07,5
"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 10402, 'name': 'Music'}, {'id': 10751, 'name': 'Family'}, {'id': 12, 'name': 'Adventure'}]",1996-02-16,93
"[{'id': 99, 'name': 'Documentary'}]",1995-12-08,2
"[{'id': 80, 'name': 'Crime'}]",1995-05-20,0
"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 10752, 'name': 'War'}]",1995-05-24,3404
"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",1976-02-07,2632
"[{'id': 80, 'name': 'Crime'}, {'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 53, 'name': 'Thriller'}]",1995-01-30,245
"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",1996-02-23,37
"[{'id': 18, 'name': 'Drama'}]",1995-09-13,2
"[{'id': 35, 'name': 'Comedy'}]",1995-01-31,23
"[{'id': 99, 'name': 'Documentary'}, {'id': 18, 'name': 'Drama'}, {'id': 10769, 'name': 'Foreign'}]",1995-06-08,4
"[{'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",1995-01-20,19
"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",1996-03-08,11
"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",1995-09-29,7
"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",1996-03-22,21
"[{'id': 18, 'name': 'Drama'}]",1992-12-06,7
"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",1992-06-30,139
"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",1994-07-14,249
"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",1995-09-21,29
"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",1996-03-22,66
"[{'id': 14, 'name': 'Fantasy'}]",1994-10-26,105
"[{'id': 18, 'name': 'Drama'}]",1994-09-30,3
[],1995-01-01,0
"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",1996-02-09,2
"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",1995-01-01,9
"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}, {'id': 10752, 'name': 'War'}]",1995-11-22,4
